ActiveIngredient,Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
BALSALAZIDE,G74,List of FDA Approved Drugs,BALSALAZIDE,BALSALAZIDE - NDA,2000-07-18,2000-07-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BARICITINIB,G74,List of FDA Approved Drugs,BARICITINIB,BARICITINIB - NDA,2018-05-31,2018-05-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BASILIXIMAB,G74,List of FDA Approved Drugs,BASILIXIMAB,BASILIXIMAB - BLA,1998-05-12,1998-05-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
"BAZEDOXIFENE; ESTROGENS, CONJUGATED",G74,List of FDA Approved Drugs,"BAZEDOXIFENE; ESTROGENS, CONJUGATED","BAZEDOXIFENE; ESTROGENS, CONJUGATED - NDA",2013-10-03,2013-10-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEDAQUILINE,G74,List of FDA Approved Drugs,BEDAQUILINE,BEDAQUILINE - NDA,2012-12-28,2012-12-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BELANTAMAB MAFODOTIN-BLMF,G74,List of FDA Approved Drugs,BELANTAMAB MAFODOTIN-BLMF,BELANTAMAB MAFODOTIN-BLMF - BLA,2020-08-05,2020-08-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BELATACEPT,G74,List of FDA Approved Drugs,BELATACEPT,BELATACEPT - BLA,2011-06-15,2011-06-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BELIMUMAB,G74,List of FDA Approved Drugs,BELIMUMAB,BELIMUMAB - BLA,2011-03-09,2011-03-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BELINOSTAT,G74,List of FDA Approved Drugs,BELINOSTAT,BELINOSTAT - NDA,2014-07-03,2014-07-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BELUMOSUDIL,G74,List of FDA Approved Drugs,BELUMOSUDIL,BELUMOSUDIL - NDA,2021-07-16,2021-07-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BELZUTIFAN,G74,List of FDA Approved Drugs,BELZUTIFAN,BELZUTIFAN - NDA,2021-08-13,2021-08-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEMPEDOIC ACID,G74,List of FDA Approved Drugs,BEMPEDOIC ACID,BEMPEDOIC ACID - NDA,2020-02-21,2020-02-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEMPEDOIC ACID; EZETIMIBE,G74,List of FDA Approved Drugs,BEMPEDOIC ACID; EZETIMIBE,BEMPEDOIC ACID; EZETIMIBE - NDA,2020-02-26,2020-02-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BENDAMUSTINE,G74,List of FDA Approved Drugs,BENDAMUSTINE,BENDAMUSTINE - NDA,2008-03-20,2008-03-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BENRALIZUMAB,G74,List of FDA Approved Drugs,BENRALIZUMAB,BENRALIZUMAB - BLA,2017-11-14,2017-11-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BENZNIDAZOLE,G74,List of FDA Approved Drugs,BENZNIDAZOLE,BENZNIDAZOLE - NDA,2017-08-29,2017-08-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BENZYL ALCOHOL,G74,List of FDA Approved Drugs,BENZYL ALCOHOL,BENZYL ALCOHOL - NDA,2009-04-09,2009-04-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEPOTASTINE BESILATE,G74,List of FDA Approved Drugs,BEPOTASTINE BESILATE,BEPOTASTINE BESILATE - NDA,2009-09-08,2009-09-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEROTRALSTAT,G74,List of FDA Approved Drugs,BEROTRALSTAT,BEROTRALSTAT - NDA,2020-12-03,2020-12-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BESIFLOXACIN,G74,List of FDA Approved Drugs,BESIFLOXACIN,BESIFLOXACIN - NDA,2009-05-28,2009-05-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BETRIXABAN,G74,List of FDA Approved Drugs,BETRIXABAN,BETRIXABAN - NDA,2017-06-23,2017-06-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEVACIZUMAB,G74,List of FDA Approved Drugs,BEVACIZUMAB,BEVACIZUMAB - BLA,2004-02-26,2004-02-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEXAGLIFLOZIN,G74,List of FDA Approved Drugs,BEXAGLIFLOZIN,BEXAGLIFLOZIN - NDA,2023-01-20,2023-01-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEXAROTENE,G74,List of FDA Approved Drugs,BEXAROTENE,BEXAROTENE - NDA,1999-12-29,1999-12-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BEZLOTOXUMAB,G74,List of FDA Approved Drugs,BEZLOTOXUMAB,BEZLOTOXUMAB - BLA,2016-10-21,2016-10-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BICTEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE,G74,List of FDA Approved Drugs,BICTEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE,BICTEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE - NDA,2018-02-07,2018-02-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BIMATOPROST,G74,List of FDA Approved Drugs,BIMATOPROST,BIMATOPROST - NDA,2001-03-16,2001-03-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BINIMETINIB,G74,List of FDA Approved Drugs,BINIMETINIB,BINIMETINIB - NDA,2018-06-27,2018-06-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BISMUTH SUBCITRATE; METRONIDAZOLE; TETRACYCLINE,G74,List of FDA Approved Drugs,BISMUTH SUBCITRATE; METRONIDAZOLE; TETRACYCLINE,BISMUTH SUBCITRATE; METRONIDAZOLE; TETRACYCLINE - NDA,2006-09-28,2006-09-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BIVALIRUDIN,G74,List of FDA Approved Drugs,BIVALIRUDIN,BIVALIRUDIN - NDA,2000-12-15,2000-12-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BLINATUMOMAB,G74,List of FDA Approved Drugs,BLINATUMOMAB,BLINATUMOMAB - BLA,2014-12-03,2014-12-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BOCEPREVIR,G74,List of FDA Approved Drugs,BOCEPREVIR,BOCEPREVIR - NDA,2011-05-13,2011-05-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BORTEZOMIB,G74,List of FDA Approved Drugs,BORTEZOMIB,BORTEZOMIB - NDA,2003-05-13,2003-05-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BOSENTAN,G74,List of FDA Approved Drugs,BOSENTAN,BOSENTAN - NDA,2001-11-20,2001-11-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BOSUTINIB,G74,List of FDA Approved Drugs,BOSUTINIB,BOSUTINIB - NDA,2012-09-04,2012-09-04,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
Botulinum Toxin Type B,G74,List of FDA Approved Drugs,Botulinum Toxin Type B,Botulinum Toxin Type B - BLA,2000-12-08,2000-12-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BREMELANOTIDE,G74,List of FDA Approved Drugs,BREMELANOTIDE,BREMELANOTIDE - NDA,2019-06-21,2019-06-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BRENTUXIMAB VEDOTIN,G74,List of FDA Approved Drugs,BRENTUXIMAB VEDOTIN,BRENTUXIMAB VEDOTIN - BLA,2011-08-19,2011-08-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BREXANOLONE,G74,List of FDA Approved Drugs,BREXANOLONE,BREXANOLONE - NDA,2019-03-19,2019-03-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BREXPIPRAZOLE,G74,List of FDA Approved Drugs,BREXPIPRAZOLE,BREXPIPRAZOLE - NDA,2015-07-10,2015-07-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BRIGATINIB,G74,List of FDA Approved Drugs,BRIGATINIB,BRIGATINIB - NDA,2017-04-28,2017-04-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BRILLIANT BLUE G,G74,List of FDA Approved Drugs,BRILLIANT BLUE G,BRILLIANT BLUE G - NDA,2019-12-20,2019-12-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BRINZOLAMIDE,G74,List of FDA Approved Drugs,BRINZOLAMIDE,BRINZOLAMIDE - NDA,1998-04-01,1998-04-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BRIVARACETAM,G74,List of FDA Approved Drugs,BRIVARACETAM,BRIVARACETAM - NDA,2016-02-18,2016-02-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BRODALUMAB,G74,List of FDA Approved Drugs,BRODALUMAB,BRODALUMAB - BLA,2017-02-15,2017-02-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
brolucizumab-dbll,G74,List of FDA Approved Drugs,brolucizumab-dbll,brolucizumab-dbll - BLA,2019-10-07,2019-10-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
BUROSUMAB-TWZA,G74,List of FDA Approved Drugs,BUROSUMAB-TWZA,BUROSUMAB-TWZA - BLA,2018-04-17,2018-04-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CABAZITAXEL,G74,List of FDA Approved Drugs,CABAZITAXEL,CABAZITAXEL - NDA,2010-06-17,2010-06-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CABOTEGRAVIR; RILPIVIRINE,G74,List of FDA Approved Drugs,CABOTEGRAVIR; RILPIVIRINE,CABOTEGRAVIR; RILPIVIRINE - NDA,2021-01-21,2021-01-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CABOZANTINIB S-MALATE,G74,List of FDA Approved Drugs,CABOZANTINIB S-MALATE,CABOZANTINIB S-MALATE - NDA,2012-11-29,2012-11-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CALASPARGASE PEGOL-MKNL,G74,List of FDA Approved Drugs,CALASPARGASE PEGOL-MKNL,CALASPARGASE PEGOL-MKNL - BLA,2018-12-20,2018-12-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CALFACTANT,G74,List of FDA Approved Drugs,CALFACTANT,CALFACTANT - BLA,1998-07-01,1998-07-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CANAGLIFLOZIN,G74,List of FDA Approved Drugs,CANAGLIFLOZIN,CANAGLIFLOZIN - NDA,2013-03-29,2013-03-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CANAKINUMAB,G74,List of FDA Approved Drugs,CANAKINUMAB,CANAKINUMAB - BLA,2009-06-17,2009-06-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CANDESARTAN CILEXETIL,G74,List of FDA Approved Drugs,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL - NDA,1998-06-04,1998-06-04,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CANGRELOR,G74,List of FDA Approved Drugs,CANGRELOR,CANGRELOR - NDA,2015-06-22,2015-06-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CANNABIDIOL,G74,List of FDA Approved Drugs,CANNABIDIOL,CANNABIDIOL - NDA,2018-06-25,2018-06-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CAPECITABINE,G74,List of FDA Approved Drugs,CAPECITABINE,CAPECITABINE - NDA,1998-04-30,1998-04-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CAPLACIZUMAB-YHDP,G74,List of FDA Approved Drugs,CAPLACIZUMAB-YHDP,CAPLACIZUMAB-YHDP - BLA,2019-02-06,2019-02-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CAPMATINIB,G74,List of FDA Approved Drugs,CAPMATINIB,CAPMATINIB - NDA,2020-05-06,2020-05-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CAPSAICIN,G74,List of FDA Approved Drugs,CAPSAICIN,CAPSAICIN - NDA,2009-11-16,2009-11-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CARFILZOMIB,G74,List of FDA Approved Drugs,CARFILZOMIB,CARFILZOMIB - NDA,2012-07-20,2012-07-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CARGLUMIC ACID,G74,List of FDA Approved Drugs,CARGLUMIC ACID,CARGLUMIC ACID - NDA,2010-03-18,2010-03-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CARIPRAZINE,G74,List of FDA Approved Drugs,CARIPRAZINE,CARIPRAZINE - NDA,2015-09-17,2015-09-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CASIMERSEN,G74,List of FDA Approved Drugs,CASIMERSEN,CASIMERSEN - NDA,2021-02-25,2021-02-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CASPOFUNGIN,G74,List of FDA Approved Drugs,CASPOFUNGIN,CASPOFUNGIN - NDA,2001-01-26,2001-01-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CEDAZURIDINE; DECITABINE,G74,List of FDA Approved Drugs,CEDAZURIDINE; DECITABINE,CEDAZURIDINE; DECITABINE - NDA,2020-07-07,2020-07-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
CEFDITOREN PIVOXIL,G74,List of FDA Approved Drugs,CEFDITOREN PIVOXIL,CEFDITOREN PIVOXIL - NDA,2001-08-29,2001-08-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
